날짜,휴일 여부
2023-01-01,공휴일
2023-01-02,비공휴일
2023-01-03,비공휴일
2023-01-04,비공휴일
2023-01-05,비공휴일
2023-01-06,비공휴일
2023-01-07,주말
2023-01-08,주말
2023-01-09,비공휴일
2023-01-10,비공휴일
2023-01-11,비공휴일
2023-01-12,비공휴일
2023-01-13,비공휴일
2023-01-14,주말
2023-01-15,주말
2023-01-16,비공휴일
2023-01-17,비공휴일
2023-01-18,비공휴일
2023-01-19,비공휴일
2023-01-20,비공휴일
2023-01-21,공휴일
2023-01-22,공휴일
2023-01-23,공휴일
2023-01-24,공휴일
2023-01-25,비공휴일
2023-01-26,비공휴일
2023-01-27,비공휴일
2023-01-28,주말
2023-01-29,주말
2023-01-30,비공휴일
2023-01-31,비공휴일
2023-02-01,비공휴일
2023-02-02,비공휴일
2023-02-03,비공휴일
2023-02-04,주말
2023-02-05,주말
2023-02-06,비공휴일
2023-02-07,비공휴일
2023-02-08,비공휴일
2023-02-09,비공휴일
2023-02-10,비공휴일
2023-02-11,주말
2023-02-12,주말
2023-02-13,비공휴일
2023-02-14,비공휴일
2023-02-15,비공휴일
2023-02-16,비공휴일
2023-02-17,비공휴일
2023-02-18,주말
2023-02-19,주말
2023-02-20,비공휴일
2023-02-21,비공휴일
2023-02-22,비공휴일
2023-02-23,비공휴일
2023-02-24,비공휴일
2023-02-25,주말
2023-02-26,주말
2023-02-27,비공휴일
2023-02-28,비공휴일
2023-03-01,공휴일
2023-03-02,비공휴일
2023-03-03,비공휴일
2023-03-04,주말
2023-03-05,주말
2023-03-06,비공휴일
2023-03-07,비공휴일
2023-03-08,비공휴일
2023-03-09,비공휴일
2023-03-10,비공휴일
2023-03-11,주말
2023-03-12,주말
2023-03-13,비공휴일
2023-03-14,비공휴일
2023-03-15,비공휴일
2023-03-16,비공휴일
2023-03-17,비공휴일
2023-03-18,주말
2023-03-19,주말
2023-03-20,비공휴일
2023-03-21,비공휴일
2023-03-22,비공휴일
2023-03-23,비공휴일
2023-03-24,비공휴일
